Time,data
1715272157.0586343,-1.78125
1715272157.0684087,-2.17578125
1715272157.0781493,-1.484375
1715272157.0882351,-1.78125
1715272157.0981421,-1.9765625
1715272157.1081781,-1.58203125
1715272157.1182437,-1.484375
1715272157.1282094,-1.87890625
1715272157.138066,-1.9765625
1715272157.1482327,-1.78125
1715272157.1584625,-1.78125
1715272157.168268,-2.17578125
1715272157.178114,-2.078125
1715272157.1880565,-1.58203125
1715272157.1980233,-1.78125
1715272157.2080412,-1.58203125
1715272157.218123,-1.58203125
1715272157.2279577,-1.87890625
1715272157.2382212,-1.9765625
1715272157.248155,-1.78125
1715272157.2585363,-1.78125
1715272157.2682402,-1.9765625
1715272157.2780905,-1.78125
1715272157.2880883,-1.87890625
1715272157.2983131,-1.78125
1715272157.3081858,-1.87890625
1715272157.3180966,-1.9765625
1715272157.3281257,-1.58203125
1715272157.3382268,-1.78125
1715272157.348229,-1.78125
1715272157.3586004,-1.78125
1715272157.3682852,-1.87890625
1715272157.3781004,-1.6796875
1715272157.3879738,-1.78125
1715272157.3981318,-1.87890625
1715272157.4080415,-2.2734375
1715272157.4182389,-1.9765625
1715272157.4279668,-1.78125
1715272157.4381597,-2.078125
1715272157.4482884,-1.58203125
1715272157.4588852,-1.9765625
1715272157.4681666,-1.78125
1715272157.4782207,-1.6796875
1715272157.4881914,-1.87890625
1715272157.498221,-1.58203125
1715272157.5081112,-1.9765625
1715272157.5184836,-1.87890625
1715272157.528029,-1.87890625
1715272157.538113,-1.87890625
1715272157.548458,-1.87890625
1715272157.558656,-1.9765625
1715272157.5684648,-1.78125
1715272157.5784721,-1.9765625
1715272157.5884602,-2.2734375
1715272157.5985243,-2.078125
1715272157.6086428,-1.78125
1715272157.618452,-1.9765625
1715272157.6286583,-1.78125
1715272157.6384153,-1.6796875
1715272157.6483152,-2.17578125
1715272157.6587577,-2.17578125
1715272157.6684153,-1.78125
1715272157.6782486,-1.78125
1715272157.6885717,-1.9765625
1715272157.698192,-1.78125
1715272157.7081194,-1.58203125
1715272157.718283,-1.78125
1715272157.728491,-1.78125
1715272157.7383358,-1.9765625
1715272157.7482412,-1.6796875
1715272157.758341,-1.58203125
1715272157.7681882,-1.6796875
1715272157.778348,-1.9765625
1715272157.7883205,-1.9765625
1715272157.7980607,-1.78125
1715272157.8082647,-1.87890625
1715272157.818302,-1.9765625
1715272157.8281562,-1.87890625
1715272157.8382463,-1.9765625
1715272157.8481934,-1.9765625
1715272157.8584127,-2.078125
1715272157.868327,-1.38671875
1715272157.878244,-1.38671875
1715272157.8881528,-1.9765625
1715272157.8981543,-1.6796875
1715272157.908141,-2.078125
1715272157.9181528,-1.484375
1715272157.9282813,-1.87890625
1715272157.9383008,-1.87890625
1715272157.948366,-1.6796875
1715272157.9699903,-1.78125
1715272157.9699955,-1.87890625
1715272157.9781017,-2.078125
1715272157.98832,-1.6796875
1715272157.9982624,-1.6796875
1715272158.0081291,-2.078125
1715272158.0181718,-1.58203125
1715272158.0283241,-1.9765625
1715272158.0381956,-1.87890625
1715272158.048431,-1.9765625
1715272158.0586054,-1.484375
1715272158.0683417,-1.6796875
